Element,  Z,   dZ,       a1,       a2,        a3,        a4,        a5,        b1,        b2,     b3,        b4,      b5
Eu3+,     63, -3,      0.496E+0, 0.121E+1, 0.145E+1,  0.236E+1,  0.774E+0,  0.152E+0, 0.101E+1, 0.295E+1, 0.818E+1, 0.185E+2
Gd,       64, 0.0,     0.9673,   2.4702,   4.1148,    4.4972,    3.2099,    0.2909,   2.1014,   9.7067,   43.4270,  125.9474
Gd3+,     64, -3,      0.490E+0, 0.119E+1, 0.142E+1,  0.230E+1,  0.795E+0,  0.148E+0, 0.974E+0, 0.281E+1, 0.778E+1, 0.177E+2
Tb,       65, 0.0,     0.9325,   2.3673,   3.8791,    3.9674,    3.7996,    0.2761,   1.9511,   8.9296,   41.5937,  131.0122
Tb3+,     65, -3,      0.503E+0, 0.122E+1, 0.142E+1,  0.224E+1,  0.710E+0,  0.150E+0, 0.982E+0, 0.286E+1, 0.777E+1, 0.177E+2
Dy,       66, 0.0,     0.9505,   2.3705,   3.8218,    4.0471,    3.4451,    0.2773,   1.9469,   8.8862,   43.0938,  133.1396
Dy3+,     66, -3,      0.503E+0, 0.124E+1, 0.144E+1,  0.217E+1,  0.643E+0,  0.148E+0, 0.970E+0, 0.288E+1, 0.773E+1, 0.176E+2
Ho,       67, 0.0,     0.9248,   2.2428,   3.6182,    3.7910,    3.7912,    0.2660,   1.8183,   7.9655,   33.1129,  101.8139
Ho3+,     67, -3,      0.456E+0, 0.117E+1, 0.143E+1,  0.215E+1,  0.692E+0,  0.129E+0, 0.869E+0, 0.261E+1, 0.724E+1, 0.167E+2
Er,       68, 0.0,     1.0373,   2.4824,   3.6558,    3.8925,    3.0056,    0.2944,   2.0797,   9.4156,   45.8056,  132.7720
Er3+,     68, -3,      0.522E+0, 0.128E+1, 0.146E+1,  0.205E+1,  0.508E+0,  0.150E+0, 0.964E+0, 0.293E+1, 0.772E+1, 0.178E+2
Tm3+,     69, -3,      0.475E+0, 0.120E+1, 0.142E+1,  0.205E+1,  0.584E+0,  0.132E+0, 0.864E+0, 0.260E+1, 0.709E+1, 0.166E+2
Yb,       70, 0.0,     1.0347,   2.3911,   3.4619,    3.6556,    3.0052,    0.2855,   1.9679,   8.7619,   42.3304,  125.6499
Yb2+,     70, -2,      0.508E+0, 0.137E+1, 0.176E+1,  0.223E+1,  0.584E+0,  0.136E+0, 0.922E+0, 0.312E+1, 0.872E+1, 0.237E+2
Yb3+,     70, -3,      0.498E+0, 0.122E+1, 0.139E+1,  0.197E+1,  0.559E+0,  0.138E+0, 0.881E+0, 0.263E+1, 0.699E+1, 0.163E+2
Lu,       71, 0.0,     0.9927,   2.2436,   3.3554,    3.7813,    3.0994,    0.2701,   1.8073,   7.8112,   34.4849,  103.3526
Lu3+,     71, -3,      0.483E+0, 0.121E+1, 0.141E+1,  0.194E+1,  0.522E+0,  0.131E+0, 0.845E+0, 0.257E+1, 0.688E+1, 0.162E+2
Hf,       72, 0.0,     1.0295,   2.2911,   3.4110,    3.9497,    2.4925,    0.2761,   1.8625,   8.0961,   34.2712,  98.5295
Hf4+,     72, -4,      0.522E+0, 0.122E+1, 0.137E+1,  0.168E+1,  0.312E+0,  0.145E+0, 0.896E+0, 0.274E+1, 0.691E+1, 0.161E+2
Ta,       73, 0.0,     1.0190,   2.2291,   3.4097,    3.9252,    2.2679,    0.2694,   1.7962,   7.6944,   31.0942,  91.1089
Ta5+,     73, -5,      0.569E+0, 0.126E+1, 0.979E+0,  0.129E+1,  0.551E+0,  0.161E+0, 0.972E+0, 0.276E+1, 0.540E+1, 0.109E+2
W,        74, 0.0,     0.9853,   2.1167,   3.3570,    3.7981,    2.2798,    0.2569,   1.6745,   7.0098,   26.9234,  81.3910
W6+,      74, -6,      0.181E+0, 0.873E+0, 0.118E+1,  0.148E+1,  0.562E+0,  0.118E-1, 0.442E+0, 0.152E+1, 0.435E+1, 0.942E+1
Re,       75, 0.0,     0.9914,   2.0858,   3.4531,    3.8812,    1.8526,    0.2548,   1.6518,   6.8845,   26.7234,  81.7215
Os,       76, 0.0,     0.9813,   2.0322,   3.3665,    3.6235,    1.9741,    0.2487,   1.5973,   6.4737,   23.2817,  70.9254
Os4+,     76, -4,      0.586E+0, 0.131E+1, 0.163E+1,  0.171E+1,  0.540E+0,  0.155E+0, 0.938E+0, 0.319E+1, 0.784E+1, 0.193E+2
Ir,       77, 0.0,     1.0194,   2.0645,   3.4425,    3.4914,    1.6976,    0.2554,   1.6475,   6.5966,   23.2269,  70.0272
Ir3+,     77, -3,      0.692E+0, 0.137E+1, 0.180E+1,  0.197E+1,  0.804E+0,  0.182E+0, 0.104E+1, 0.347E+1, 0.851E+1, 0.212E+2
