# Neutron scattering lengths: http://www.ncnr.nist.gov/resources/n-lengths/
# X-ray Form factor: ITC, p578
# Magnetic Form Factor: https://www.ill.eu/sites/ccsl/ffacts/ffactnode4.html
# Element weights and radii: http://en.wikipedia.org/wiki/List_of_elements_by_atomic_properties
# X-ray edges: From http://xdb.lbl.gov/Section1/Table_1-1.pdf
  Z Element Name           Coh_b    Inc_b      Nabs     Nscat    a1         b1         a2         b2         a3         b3         a4         b4         c          j0_A     j0_a     j0_B     j0_b     j0_C     j0_c     j0_D     Radii ValenceE Weight      K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
 55 Cs      Cesium         5.4200   1.2900    29.0000   3.9000  20.389200   3.569000  19.106200   0.310700  10.662000  24.387900   1.495300 213.904000   3.335200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 260.000       1 132.905452  35.985   5.714   5.359   5.012   1.211   1.071   1.003   0.741   0.727   0.232   0.172   0.161
 56 Ba      Barium         5.0700      nan     1.1000   3.3800  20.336100   3.216000  19.297000   0.275600  10.888000  20.207300   2.695900 167.202000   2.773100   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 215.000       2 137.327000  37.441   5.989   5.624   5.247   1.293   1.137   1.063   0.796   0.780   0.254   0.192   0.179
 57 La      Lanthanum      8.2400      nan     8.9700   9.6600  20.578000   2.948170  19.599000   0.244475  11.372700  18.772600   3.287190 133.124000   2.146780   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 195.000       2 138.905470  38.925   6.266   5.891   5.483   1.362   1.209   1.128   0.853   0.836   0.275   0.206   0.196
 58 Ce      Cerium         4.8400      nan     0.6300   2.9400  21.167100   2.812190  19.769500   0.226836  11.851300  17.608300   3.330490 127.113000   1.862640   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 185.000       2 140.116000  40.443   6.549   6.164   5.723   1.436   1.274   1.187   0.902   0.884   0.291   0.223   0.206
 59 Pr      Praseodymium   4.5800  -0.3500    11.5000   2.6600  22.044000   2.773930  19.669700   0.222087  12.385600  16.766900   2.824280 143.644000   2.058300   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 185.000       2 140.907650  41.991   6.835   6.440   5.964   1.511   1.337   1.242   0.948   0.929   0.304   0.236   0.218
 60 Nd      Neodymium      7.6900      nan    50.5000  16.6000  22.684500   2.662480  19.684700   0.210628  12.774000  15.885000   2.851370 137.903000   1.984860   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 185.000       2 144.242000  43.569   7.126   6.722   6.208   1.575   1.403   1.297   1.003   0.980   0.319   0.243   0.225
 61 Pm      Promethium    12.6000   3.2000   168.4000  21.3000  23.340500   2.562700  19.609500   0.202088  13.123500  15.100900   2.875160 132.721000   2.028760   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 185.000       2 145.000000  45.184   7.428   7.013   6.459     nan   1.471   1.357   1.052   1.027     nan   0.242   0.242
 62 Sm      Samarium       0.8000      nan  5922.0000  39.0000  24.004200   2.472740  19.425800   0.196451  13.439600  14.399600   2.896040 128.007000   2.209630   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 185.000       2 150.360000  46.834   7.737   7.312   6.716   1.723   1.541   1.420   1.111   1.083   0.347   0.266   0.247
 63 Eu      Europium       7.2200      nan  4530.0000   9.2000  24.627400   2.387900  19.088600   0.194200  13.760300  13.754600   2.922700 123.174000   2.574500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 185.000       2 151.964000  48.519   8.052   7.617   6.977   1.800   1.614   1.481   1.159   1.127   0.360   0.284   0.257
 64 Gd      Gadolinium     6.5000      nan 49700.0000 180.0000  25.070900   2.253410  19.079800   0.181951  13.851800  12.933100   3.545450 101.398000   2.419600   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 180.000       2 157.250000  50.239   8.376   7.930   7.243   1.881   1.688   1.544   1.222   1.190   0.379   0.286   0.271
